,C,Classifier,Dataset,accuracy
412,,ShapeletTransformEnsemble,MoteStrain,0.8909999999999999
413,,ShapeletTransformEnsemble,OSULeaf,0.715
414,,ShapeletTransformEnsemble,OliveOil,0.9
415,,ShapeletTransformEnsemble,SonyAIBORobotSurface,0.9329999999999999
416,,ShapeletTransformEnsemble,SonyAIBORobotSurfaceII,0.885
417,,ShapeletTransformEnsemble,StarLightCurves,0.976
418,,ShapeletTransformEnsemble,SwedishLeaf,0.907
419,,ShapeletTransformEnsemble,Symbols,0.8859999999999999
420,,ShapeletTransformEnsemble,Trace,0.98
421,,ShapeletTransformEnsemble,TwoLeadECG,0.996
422,,ShapeletTransformEnsemble,Two_Patterns,0.941
423,,ShapeletTransformEnsemble,WordsSynonyms,
424,,ShapeletTransformEnsemble,synthetic_control,0.983
425,,ShapeletTransformEnsemble,uWaveGestureLibrary_X,
426,,ShapeletTransformEnsemble,uWaveGestureLibrary_Y,
427,,ShapeletTransformEnsemble,uWaveGestureLibrary_Z,
428,,ShapeletTransformEnsemble,wafer,0.998
429,,ShapeletTransformEnsemble,yoga,0.805
430,,Ensemble-C4.5,50words,
431,,Ensemble-C4.5,Adiac,0.2558
432,,Ensemble-C4.5,Beef,0.5667
433,,Ensemble-C4.5,CBF,
434,,Ensemble-C4.5,ChlorineConcentration,0.4971
435,,Ensemble-C4.5,CinC_ECG_torso,
436,,Ensemble-C4.5,Coffee,0.8929
437,,Ensemble-C4.5,Cricket_X,
438,,Ensemble-C4.5,Cricket_Y,
439,,Ensemble-C4.5,Cricket_Z,
440,,Ensemble-C4.5,DiatomSizeReduction,0.5654
441,,Ensemble-C4.5,ECG200,
442,,Ensemble-C4.5,ECGFiveDays,0.8839
443,,Ensemble-C4.5,FaceAll,
444,,Ensemble-C4.5,FaceFour,0.6591
445,,Ensemble-C4.5,FacesUCR,
446,,Ensemble-C4.5,Fish,
447,,Ensemble-C4.5,Gun_Point,
448,,Ensemble-C4.5,Haptics,
449,,Ensemble-C4.5,InlineSkate,
450,,Ensemble-C4.5,ItalyPowerDemand,0.8892
451,,Ensemble-C4.5,Lightning2,
452,,Ensemble-C4.5,Lightning7,0.45209999999999995
453,,Ensemble-C4.5,MALLAT,
454,,Ensemble-C4.5,MedicalImages,0.4487
455,,Ensemble-C4.5,MoteStrain,0.7707999999999999
456,,Ensemble-C4.5,OSULeaf,
457,,Ensemble-C4.5,OliveOil,
458,,Ensemble-C4.5,SonyAIBORobotSurface,0.8319
